predictor,beta,se,t
intercept,-3.050568109796228e-17,0.011800994751866828,-2.5850092928086855e-15
IS score,0.06856487636772693,0.018853379674239494,3.6367419291625067
dep length,-0.017345848282480283,0.000990567022021124,-17.51102943755216
pcfg surp,-0.38490447984219167,0.005902636273994256,-65.20891038771911
lex-rept surp,-0.0284663127576279,0.0075911783730940145,-3.7499201518598477
trigram surp,-0.15842352186185563,0.0073507962963185935,-21.551885738038596
lstm surp,-0.05135013863868754,0.004692541371569223,-10.942927205672273
adaptive lstm surp,-0.1094461399250978,0.004882088447155673,-22.417893716952552
